game_id,hand_id,player,stack,hand_profit,bb_profit,cumulative_profit
GLOBAL,32,ClaudeBot,2800,-180,-9.0,-2975
GLOBAL,33,GPTBot,3220,220,11.0,6105
GLOBAL,33,GeminiBot,2800,-190,-9.5,-2140
GLOBAL,33,ClaudeBot,2980,0,0.0,-2975
GLOBAL,34,GPTBot,0,-3000,-150.0,3105
GLOBAL,34,GeminiBot,2880,-110,-5.5,-2250
GLOBAL,34,ClaudeBot,6120,3140,157.0,165
GLOBAL,35,GPTBot,3450,450,22.5,3555
GLOBAL,35,GeminiBot,2990,0,0.0,-2250
GLOBAL,35,ClaudeBot,2560,-420,-21.0,-255
GLOBAL,36,GPTBot,3850,850,42.5,4405
GLOBAL,36,GeminiBot,2800,-190,-9.5,-2440
GLOBAL,36,ClaudeBot,2350,-630,-31.5,-885
GLOBAL,37,GPTBot,3720,720,36.0,5125
GLOBAL,37,GeminiBot,2820,-170,-8.5,-2610
GLOBAL,37,ClaudeBot,2460,-520,-26.0,-1405
GLOBAL,38,GPTBot,2700,-300,-15.0,4825
GLOBAL,38,GeminiBot,2990,0,0.0,-2610
GLOBAL,38,ClaudeBot,3310,330,16.5,-1075
GLOBAL,39,GPTBot,3220,220,11.0,5045
GLOBAL,39,GeminiBot,2800,-190,-9.5,-2800
GLOBAL,39,ClaudeBot,2980,0,0.0,-1075
GLOBAL,40,GPTBot,3220,220,11.0,5265
GLOBAL,40,GeminiBot,2800,-190,-9.5,-2990
GLOBAL,40,ClaudeBot,2980,0,0.0,-1075
GLOBAL,41,GPTBot,3220,220,11.0,5485
GLOBAL,41,GeminiBot,2800,-190,-9.5,-3180
GLOBAL,41,ClaudeBot,2980,0,0.0,-1075
GLOBAL,42,GPTBot,3210,210,10.5,5695
GLOBAL,42,GeminiBot,2990,0,0.0,-3180
GLOBAL,42,ClaudeBot,2800,-180,-9.0,-1255
GLOBAL,43,GPTBot,3070,70,3.5,5765
GLOBAL,43,GeminiBot,2990,0,0.0,-3180
GLOBAL,43,ClaudeBot,2940,-40,-2.0,-1295
GLOBAL,44,GPTBot,3030,30,1.5,5795
GLOBAL,44,GeminiBot,2990,0,0.0,-3180
GLOBAL,44,ClaudeBot,2980,0,0.0,-1295
GLOBAL,45,GPTBot,3400,400,20.0,6195
GLOBAL,45,GeminiBot,2800,-190,-9.5,-3370
GLOBAL,45,ClaudeBot,2800,-180,-9.0,-1475
GLOBAL,46,GPTBot,3030,30,1.5,6225
GLOBAL,46,GeminiBot,2990,0,0.0,-3370
GLOBAL,46,ClaudeBot,2980,0,0.0,-1475
GLOBAL,47,GPTBot,3610,610,30.5,6835
GLOBAL,47,GeminiBot,2990,0,0.0,-3370
GLOBAL,47,ClaudeBot,2400,-580,-29.0,-2055
GLOBAL,48,GPTBot,3030,30,1.5,6865
GLOBAL,48,GeminiBot,2990,0,0.0,-3370
GLOBAL,48,ClaudeBot,2980,0,0.0,-2055
